gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
ANKRD53,ENSG00000144031,ENST00000360589,transcript,ENSG00000144031,32.27729334,32.09086204
CNNM4,ENSG00000158158,ENST00000377075,transcript,ENSG00000158158,32.05105858,32.09122975
ZFP1,ENSG00000184517,ENST00000393430,transcript,ENSG00000184517,31.28163147,32.09144672
CYP27C1,ENSG00000186684,ENST00000335247,transcript,ENSG00000186684,31.91933271,32.09146593
UGT1A3,ENSG00000243135,ENST00000482026,transcript,ENSG00000243135,31.92582865,32.09150285
UGT1A1,ENSG00000241635,ENST00000609767,transcript,ENSG00000241635,31.93047705,32.09150285
PPP1CA,ENSG00000172531,ENST00000312989,transcript,ENSG00000172531,32.70807678,32.09160788
SEC14L2,ENSG00000100003,ENST00000312932,transcript,ENSG00000100003,32.08041761,32.09162653
ZNF213,ENSG00000085644,ENST00000396878,transcript,ENSG00000085644,31.56658298,32.0917897
COL9A3,ENSG00000092758,ENST00000343916,transcript,ENSG00000092758,32.37763057,32.09207078
DSCAML1,ENSG00000177103,ENST00000321322,transcript,ENSG00000177103,32.13334799,32.09210442
TMEM127,ENSG00000135956,ENST00000258439,transcript,ENSG00000135956,32.06450882,32.09239385
ZDHHC19,ENSG00000163958,ENST00000296326,transcript,ENSG00000163958,32.27266802,32.09281105
FOS,ENSG00000170345,ENST00000303562,transcript,ENSG00000170345,32.13680985,32.09301709
FAM135B,ENSG00000147724,ENST00000395297,transcript,ENSG00000147724,31.99010402,32.09325935
L3MBTL1,ENSG00000185513,ENST00000427442,transcript,ENSG00000185513,31.97081633,32.09329004
C14orf177,ENSG00000176605,ENST00000325812,transcript,ENSG00000176605,32.32577159,32.09331547
GALNT2,ENSG00000143641,ENST00000366672,transcript,ENSG00000143641,31.93628585,32.09336208
C1orf105,ENSG00000180999,ENST00000367727,transcript,ENSG00000180999,32.07209511,32.0934816
SLC4A9,ENSG00000113073,ENST00000230993,transcript,ENSG00000113073,31.99818454,32.09364983
CARS2,ENSG00000134905,ENST00000257347,transcript,ENSG00000134905,32.3616606,32.09373261
MTG1,ENSG00000148824,ENST00000317502,transcript,ENSG00000148824,32.11098387,32.09375661
CBLN1,ENSG00000102924,ENST00000219197,transcript,ENSG00000102924,30.51934521,32.09411119
CCL17,ENSG00000102970,ENST00000219244,transcript,ENSG00000102970,31.85333116,32.09431529
GPR171,ENSG00000174946,ENST00000309180,transcript,ENSG00000174946,31.29773029,32.09440553
MAP3K11,ENSG00000173327,ENST00000309100,transcript,ENSG00000173327,31.93355213,32.09445746
GCSAM,ENSG00000174500,ENST00000484193,transcript,ENSG00000174500,32.15698439,32.09448673
TAS2R14,ENSG00000212127,ENST00000537503,transcript,ENSG00000212127,31.67348583,32.09448686
ZNF454,ENSG00000178187,ENST00000320129,transcript,ENSG00000178187,31.61088946,32.09451916
RYR3,ENSG00000198838,ENST00000389232,transcript,ENSG00000198838,32.07090381,32.09459969
KRT35,ENSG00000197079,ENST00000393989,transcript,ENSG00000197079,32.1438731,32.09462727
UGT1A4,ENSG00000244474,ENST00000373409,transcript,ENSG00000244474,31.93049847,32.09468835
QRICH2,ENSG00000129646,ENST00000262765,transcript,ENSG00000129646,32.25017891,32.09470325
KRTAP10-5,ENSG00000241123,ENST00000400372,transcript,ENSG00000241123,31.67388174,32.09483026
ADAR,ENSG00000160710,ENST00000368474,transcript,ENSG00000160710,32.12388294,32.0949093
CACNG5,ENSG00000075429,ENST00000533854,transcript,ENSG00000075429,31.98947429,32.09501848
CDHR4,ENSG00000187492,ENST00000412678,transcript,ENSG00000187492,31.62420114,32.09510933
UBAP1,ENSG00000165006,ENST00000545103,transcript,ENSG00000165006,31.26630916,32.09514516
GHRH,ENSG00000118702,ENST00000373614,transcript,ENSG00000118702,32.34513781,32.09524738
CLDND1,ENSG00000080822,ENST00000437922,transcript,ENSG00000080822,31.53548144,32.09531327
RRP9,ENSG00000114767,ENST00000232888,transcript,ENSG00000114767,32.09680278,32.09532989
MATN2,ENSG00000132561,ENST00000520016,transcript,ENSG00000132561,32.15297263,32.09543997
MINPP1,ENSG00000107789,ENST00000371996,transcript,ENSG00000107789,31.95133175,32.09564496
